"Those Lips,David Shaber
La Cage aux Folles II,Michel Serrault
The Gong Show Movie,Chuck Barris
Gilda Live,Gilda Radner
Why Would I Lie?,Treat Williams
First Family,Bob Newhart
Mantis Fist Fighter,Ka-Yan Leung
Indiana Jones and the Raiders of the Lost Ark,Harrison Ford
Body Heat,William Hurt
An American Werewolf in London,David Naughton
Escape from New York,Kurt Russell
The Evil Dead,Bruce Campbell
Porky's,Dan Monahan
Blow Out,John Travolta
Clash of the Titans,Laurence Olivier
Excalibur,Nigel Terry
Mad Max 2,Mel Gibson
Das Boot,Jürgen Prochnow
Stripes,Bill Murray
Possession,Isabelle Adjani
The Cannonball Run,Burt Reynolds
Thief,James Caan
Endless Love,Brooke Shields
Time Bandits,Sean Connery
The Four Seasons,Alan Alda
Friday the 13th Part 2,Betsy Palmer
Scanners,Jennifer O'Neill
For Your Eyes Only,Roger Moore
Halloween II,Jamie Lee Curtis
Taps,George C. Scott
Reds,Warren Beatty
On Golden Pond,Katharine Hepburn
The Fox and the Hound,Mickey Rooney
Chariots of Fire,Ben Cross
Absence of Malice,Paul Newman
Tarzan the Ape Man,Bo Derek
Victory,Michael Caine
Arthur,Dudley Moore
My Dinner with Andre,Andre Gregory
Caveman,Ringo Starr
Dead & Buried,James Farentino
History of the World: Part I,Mel Brooks
The Howling,Dee Wallace
Dragonslayer,Peter MacNicol
Cutter's Way,Jeff Bridges
Quest for Fire,Everett McGill
The Final Conflict,Sam Neill
Mommie Dearest,Faye Dunaway
Private Lessons,Sylvia Kristel
The Postman Always Rings Twice,Jack Nicholson
Ragtime,James Cagney
Deadly Blessing,Maren Jensen
Eyewitness,William Hurt
Gallipoli,Mel Gibson
Outland,Sean Connery
Southern Comfort,Keith Carradine
S.O.B.,Julie Andrews
The Beyond,Catriona MacColl
Ghost Story,Craig Wasson
My Bloody Valentine,Paul Kelman
The Funhouse,Elizabeth Berridge
One from the Heart,Frederic Forrest
The French Lieutenant's Woman,Meryl Streep
The Great Muppet Caper,Jim Henson
True Confessions,Robert De Niro
Looker,Albert Finney
Nighthawks,Sylvester Stallone
Nice Dreams,Cheech Marin
Sharky's Machine,Burt Reynolds
Neighbors,John Belushi
Puberty Blues,Nell Schofield
Eye of the Needle,Donald Sutherland
Wolfen,Albert Finney
Student Bodies,Kristen Riter
Prince of the City,Treat Williams
The Hand,Michael Caine
Continental Divide,John Belushi
Diva,Wilhelmenia Fernandez
Venom,Klaus Kinski
Fort Apache the Bronx,Paul Newman
Eyes of a Stranger,Lauren Tewes
Zorro: The Gay Blade,George Hamilton
Under the Rainbow,Chevy Chase
Carbon Copy,George Segal
The Incredible Shrinking Woman,Lily Tomlin
The Night the Lights Went Out in Georgia,Kristy McNichol
Quartet,Isabelle Adjani
Graduation Day,Christopher George
Modern Problems,Chevy Chase
Pennies from Heaven,Steve Martin
American Pop,Mews Small
The Legend of the Lone Ranger,Klinton Spilsbury
Sphinx,Lesley-Anne Down
Night School,Leonard Mann
An Eye for an Eye,Chuck Norris
Zoot Suit,Daniel Valdez
Rich and Famous,Jacqueline Bisset
Buddy Buddy,Jack Lemmon
Bustin' Loose,Richard Pryor
Modern Romance,Albert Brooks
Heartbeeps,Andy Kaufman
Back Roads,Sally Field
Take This Job and Shove It,Robert Hays
Raggedy Man,Sissy Spacek
Whose Life Is It Anyway?,Richard Dreyfuss
Inchon,Laurence Olivier
All Night Long,Gene Hackman
The Pursuit of D.B. Cooper,Robert Duvall
Rollover,Jane Fonda
Only When I Laugh,Marsha Mason
Honky Tonk Freeway,David Rasche
Paternity,Burt Reynolds
King of the Mountain,Harry Hamlin
Scream,Pepper Martin
The Devil and Max Devlin,Elliott Gould
The Amateur,John Savage
Longshot,United States
Comin' at Ya!,Tony Anthony
Le Pont du Nord,Bulle Ogier
Silence of the North,Ellen Burstyn
Fast Times at Ridgemont High,Sean Penn
Blade Runner,Harrison Ford
The Thing,Kurt Russell
Conan the Barbarian,Arnold Schwarzenegger
E.T. the Extra-Terrestrial,Henry Thomas
First Blood,Sylvester Stallone
An Officer and a Gentleman,Richard Gere
Grease 2,Michelle Pfeiffer
Annie,Aileen Quinn
Poltergeist,JoBeth Williams
48 Hrs.,Nick Nolte
Star Trek II: The Wrath of Khan,William Shatner
Paradise,Willie Aames
The Last American Virgin,Lawrence Monoson
Sophie's Choice,Meryl Streep
Gandhi,Ben Kingsley
Tootsie,Dustin Hoffman
Tron,Jeff Bridges
The Secret of NIMH,Elizabeth Hartman
The King of Comedy,Robert De Niro
Rocky III,Sylvester Stallone
The Beastmaster,Marc Singer
Creepshow,Hal Holbrook
The Man from Snowy River,Kirk Douglas
Pink Floyd: The Wall,Bob Geldof
Cat People,Nastassja Kinski
Fanny and Alexander,Bertil Guve
Friday the 13th Part III,Dana Kimmell
Firefox,Clint Eastwood
Halloween III: Season of the Witch,Tom Atkins
The Dark Crystal,Jim Henson
The Verdict,Paul Newman
Pieces,Christopher George
Zapped!,Scott Baio
Six Pack,Kenny Rogers
The World According to Garp,Robin Williams
Diner,Steve Guttenberg
The Best Little Whorehouse in Texas,Burt Reynolds
The Year of Living Dangerously,Mel Gibson
Night Shift,Henry Winkler
Summer Lovers,Peter Gallagher
Victor Victoria,Julie Andrews
The Last Unicorn,Jeff Bridges
The Entity,Barbara Hershey
Airplane II: the Sequel,Robert Hays
The Toy,Richard Pryor
The House on Sorority Row,Kate McNeil
Evil Under the Sun,Peter Ustinov
The Sword and the Sorcerer,Lee Horsley
Death Wish II,Charles Bronson
Silent Rage,Chuck Norris
Megaforce,Barry Bostwick
Personal Best,Mariel Hemingway
Dead Men Don't Wear Plaid,Steve Martin
Amityville II: The Possession,James Olson
Missing,Jack Lemmon
Frances,Jessica Lange
The Seduction,Morgan Fairchild
Cannery Row,Nick Nolte
Deathtrap,Michael Caine
Tex,Matt Dillon
Time Walker,Ben Murphy
"I,Mickey Spillane
Tempest,John Cassavetes
Young Doctors in Love,Michael McKean
My Favorite Year,Peter O'Toole
Still of the Night,Roy Scheider
Parasite,Robert Glaudini
Making Love,Michael Ontkean
Honkytonk Man,Clint Eastwood
The Beast Within,Ronny Cox
"Come Back to the 5 & Dime Jimmy Dean,Ed Graczyk
The Final Option,Lewis Collins
Trail of the Pink Panther,Peter Sellers
The Sender,Kathryn Harrold
The Border,Jack Nicholson
Kiss Me Goodbye,Sally Field
A Midsummer Night's Sex Comedy,Woody Allen
Vice Squad,Season Hubley
Best Friends,Burt Reynolds
Shoot the Moon,Albert Finney
Lookin' to Get Out,Jon Voight
Barbarosa,Willie Nelson
Visiting Hours,Michael Ironside
A Little Sex,Tim Matheson
Class Reunion,Gerrit Graham
Hanky Panky,Gene Wilder
Author! Author!,Al Pacino
Split Image,Michael O'Keefe
The Challenge,Scott Glenn
The Soldier,Ken Wahl
Wrong Is Right,Sean Connery
Six Weeks,Dudley Moore
The State of Things,Allen Garfield
Jekyll and Hyde... Together Again,Mark Blankfield
Forced Vengeance,Chuck Norris
The Missionary,Michael Palin
The Escape Artist,Raul Julia
Night Crossing,John Hurt
Endangered Species,Robert Urich
Things Are Tough All Over,Toni Attell
Homework,Joan Collins
Jinxed!,Bette Midler
The Return of Martin Guerre,Gérard Depardieu
They Call Me Bruce,Johnny Yune
Some Kind of Hero,Richard Pryor
Hammett,Frederic Forrest
Five Days One Summer,United States
Penitentiary II,Leon Isaac Kennedy
If You Could See What I Hear,Marc Singer
Partners,Ryan O'Neal
Richard Pryor: Live on the Sunset Strip,Richard Pryor
Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,Mel Blanc
Monsignor,Christopher Reeve
"Yes,Anne Piper
